ID,table,diagnosis Year,Age Specific Incidence Age0_49,age Specific Incidence  Age 0-54,ageSpecificIncidenceAge 55-59,age SpecificIncidence Age60-64,ageSpecificIncidenceAge65_69,age Spes IncidenceAge70-74,Age_Specific_IncidenceAge75_79,Age80_84,Age85_89,Age 90
187,Non-Emergency dept,2021,0,0,0,0,0,0,0,0,0,0
188,Non-Emergency dept,2022,0.72213995,5.707891,9.2941904,11.378194,13.916711,15.007919,15.030819,17.022039,14.904524,16.31258
189,Non-Emergency dept,2023,0.67982709,6.0220871,7.8524318,10.549129,13.059771,15.007919,14.705829,16.382113,16.463167,17.477764
190,,,,,,,,,,,,
191,Early phase,All Years,,,,,,,,,,
192,Early phase,2016,0.56244415,3.4855845,4.8258262,5.5954113,7.1898432,7.7689018,8.1846457,7.3586307,7.2597785,6.1494818
193,Early phase,2017,0.5512926,3.4945085,,5.4857106,6.9080267,7.4703512,6.1437984,7.0134172,6.9791741,7.2676768
194,Early phase,2018,0.4882175,3.1689403,4.2878728,5.300385,6.6527338,7.9989324,6.7117186,6.3988304,5.6837912,4.4063807
195,Early phase,2019,,2.5508864,3.6289902,4.4447265,6.5718098,6.8089447,7.3268971,6.1172309,5.5744581,5.6063237
196,Early phase,2020,0.32070383,2.6609375,4.1459012,4.5902438,5.5343366,5.915741,5.1518841,6.1787758,4.9253407,5.7574172
197,Early phase,2021,0.39617482,2.8625157,4.441525,5.6971774,6.6504068,8.2073612,6.5873942,7.6351252,5.2088027,6.1688843
198,Early phase,2022,0,0,0,0,0,0,0,0,0,0
199,Early phase,2023,0,0,0,0,0,0,0,0,0,0
200,,,,,,,,,,,,
201,advanced-phase,All Years,,,,,,,,,,
202,advanced-phase,2016,0.3692815,3.2532122,5.5659838,7.7107501,7.255805,8.0208664,8.6857462,8.8452225,10.949175,9.4292049
203,advanced-phase,2017,0.46604118,3.7750893,4.9914851,6.4979548,7.819746,7.3259969,6.6644592,8.6318979,7.3958411,6.8639169
204,advanced-phase,2018,0.38887092,3.1433842,5.1291642,6.9926767,6.8650551,7.1140947,8.5148668,7.4543076,8.5773573,12.017401
